ID,Author,Title,Bookshelf,Text File
30697,Samuel Hall Young,Alaska Days with John Muir,,books/30697.txt
36069,A. W. Greely,Explorers and Travellers,,books/36069.txt
37937,E. V. Lucas,A Wanderer in Paris,,books/37937.txt
38478,"the Austrian Frigate Novara,",Narrative of the Circumnavigation of the Globe,,books/38478.txt
29420,T. R. Agg,American Rural Highways,,books/29420.txt
39465,Victor,Eleven Years in the Rocky Mountains and Life on the Frontier,,books/39465.txt
38828,Isabella L. Bird,"Journeys in Persia and Kurdistan, Volume 2 (of 2)",,books/38828.txt
22749,W. G. Burn Murdoch,From Edinburgh to India & Burmah,,books/22749.txt
26059,Hudson Stuck,The Ascent of Denali (Mount McKinley),,books/26059.txt
11039,Ida Pfeiffer,A Woman's Journey Round the World,,books/11039.txt
36962,Frederick Albert Cook,My Attainment of the Pole,,books/36962.txt
13033,Mitchell,"Three Expeditions into the Interior of Eastern Australia, Volume 2",,books/13033.txt
501,Hugh Lofting,The Story of Doctor Dolittle,,books/501.txt
20781,Johanna Spyri,Heidi,,books/20781.txt
11757,Margery Williams Bianco,The Velveteen Rabbit,,books/11757.txt
13707,Nathaniel Hawthorne,Twice Told Tales,,books/13707.txt
25609,Robert Louis Stevenson,A Child's Garden of Verses,,books/25609.txt
708,George MacDonald,The Princess and the Goblin,,books/708.txt
1430,E. Nesbit and William Shakespeare,Beautiful Stories from Shakespeare,,books/1430.txt
23661,E. Nesbit,The Book of Dragons,,books/23661.txt
928,Lewis Carroll,Alice's Adventures in Wonderland,,books/928.txt
479,Frances Hodgson Burnett,Little Lord Fauntleroy,,books/479.txt
540,Andrew Lang,The Red Fairy Book,,books/540.txt
19002,Lewis Carroll,Alice's Adventures Under Ground,,books/19002.txt
678,Charles Dickens,The Cricket on the Hearth: A Fairy Tale of Home,,books/678.txt
14667,Sir Max Beerbohm,A Christmas Garland,,books/14667.txt
22042,W. F. Dawson,Christmas: Its Origin and Associations,,books/22042.txt
10825,Ignacio Manuel Altamirano,La Navidad en las Montañas,,books/10825.txt
8694,Alcott,"The Abbot's Ghost, or Maurice Treherne's Temptation: A Christmas Story",,books/8694.txt
676,Charles Dickens,The Battle of Life,,books/676.txt
47333,Antoinette Ogden,Christmas Stories from French and Spanish Writers,,books/47333.txt
20516,Zona Gale,Christmas: A Story,,books/20516.txt
15709,Abbie Farwell Brown,The Christmas Angel,,books/15709.txt
47956,William Sandys,"Christmastide: Its History, Festivities, and Carols",,books/47956.txt
14535,Robert Louis Stevenson,A Christmas Sermon,,books/14535.txt
16134,Henry Van Dyke,The First Christmas Tree: A Story of the Forest,,books/16134.txt
20112,"Farman, Pratt, and Towne",Lill's Travels in Santa Claus Land,,books/20112.txt
31993,Peter Christen Asbjørnsen,'Round the yule-log: Christmas in Norway,,books/31993.txt
14835,Alice Duer Miller,The Burglar and the Blizzard: A Christmas Story,,books/14835.txt
10707,William John Locke,A Christmas Mystery: The Story of Three Wise Men,,books/10707.txt
43008,Willis Boyd Allen,Around the Yule Log,,books/43008.txt
17456,Kate Douglas Smith Wiggin,The Romance of a Christmas Card,,books/17456.txt
21784,Elizabeth Anderson,The Goblins' Christmas,,books/21784.txt
20181,James Whitcomb Riley,A Defective Santa Claus,,books/20181.txt
22519,William Dean Howells,Christmas Every Day and Other Stories,,books/22519.txt
18908,Robert Haven Schauffler,Christmas,,books/18908.txt
19979,John Ashton,A Righte Merrie Christmasse: The Story of Christ-Tide,,books/19979.txt
32455,Edward Everett Hale,Christmas Eve and Christmas Day: Ten Christmas stories,,books/32455.txt
44235,James Dennistoun,"Memoirs of the Dukes of Urbino, Volume 2 (of 3)",,books/44235.txt
34645,Luigi Lanzi,"The History of Painting in Italy, Vol. 3 (of 6)",,books/34645.txt
42560,James Dennistoun,"Memoirs of the Dukes of Urbino, Volume 1 (of 3)",,books/42560.txt
41934,Joseph Collins,Idling in Italy: Studies of literature and of life,,books/41934.txt
10635,Leigh Hunt,"Stories from the Italian Poets: with Lives of the Writers, Volume 2",,books/10635.txt
1005,Dante Alighieri,"Divine Comedy, Cary's Translation, Hell",,books/1005.txt
45573,G. A. Henty,Out with Garibaldi: A story of the liberation of Italy,,books/45573.txt
1996,Dante Alighieri,"The Divine Comedy, Volume 2, Purgatory",,books/1996.txt
38967,Luigi Lanzi,"The History of Painting in Italy, Vol. 4 (of 6)",,books/38967.txt
23959,W. Cope Devereux,"Fair Italy, the Riviera and Monte Carlo",,books/23959.txt
1997,Dante Alighieri,"The Divine Comedy, Volume 3, Paradise",,books/1997.txt
10885,Leigh Hunt,"Stories from the Italian Poets: with Lives of the Writers, Volume 1",,books/10885.txt
24652,Henry Festing Jones,Diversions in Sicily,,books/24652.txt
46092,Olave M. Potter,A Little Pilgrimage in Italy,,books/46092.txt
1007,Dante Alighieri,"Divine Comedy, Cary's Translation, Paradise",,books/1007.txt
1006,Dante Alighieri,"Divine Comedy, Cary's Translation, Purgatory",,books/1006.txt
43607,Rupert Sargent Holland,Builders of United Italy,,books/43607.txt
45556,Katherine Wallace Davis,"Pappina, the Little Wanderer: A Story of Southern Italy",,books/45556.txt
45899,Edward A. Freeman,Studies of Travel: Italy,,books/45899.txt
44114,Bernard Edward Joseph Capes,A Jay of Italy,,books/44114.txt
28057,Eric Parker,Highways and Byways in Surrey,,books/28057.txt
20300,A. F. Pollard,Henry VIII.,,books/20300.txt
27995,Walter Besant,The History of London,,books/27995.txt
19212,David Hume,"The History of England in Three Volumes, Vol. I., Part B.",,books/19212.txt
14742,P. H. Ditchfield,Vanishing England,,books/14742.txt
19213,David Hume,"The History of England in Three Volumes, Vol. I., Part C.",,books/19213.txt
2612,Macaulay,"The History of England, from the Accession of James II — Volume 3",,books/2612.txt
16679,T. F. Tout,The History of England,,books/16679.txt
16545,Jacob Abbott,King Alfred of England,,books/16545.txt
19800,Reginald R. Sharpe,London and the Kingdom - Volume 1,,books/19800.txt
19218,Edward Farr and E. H. Nolan,"The History of England in Three Volumes, Vol.III.",,books/19218.txt
16496,Raphael Holinshed,Chronicles (1 of 6): The Historie of England (1 of 8),,books/16496.txt
1149,Daniel Defoe,From London to Land's End,,books/1149.txt
19215,David Hume,"The History of England in Three Volumes, Vol. I., Part E.",,books/19215.txt
25266,Arthur Dimock,Bell's Cathedrals: The Cathedral Church of Saint Paul,,books/25266.txt
22269,Jeanne Marie Bouvier de la Motte Guyon,The Autobiography of Madame Guyon,,books/22269.txt
19214,David Hume,"The History of England in Three Volumes, Vol. I., Part D.",,books/19214.txt
382,Robert Louis Stevenson,Edinburgh: Picturesque Notes,,books/382.txt
6659,Jacob Abbott,History of King Charles the Second of England,,books/6659.txt
2613,Macaulay,"The History of England, from the Accession of James II — Volume 4",,books/2613.txt
19216,David Hume,"The History of England in Three Volumes, Vol. I., Part F.",,books/19216.txt
29070,W. Delisle Hay,Brighter Britain! (Volume 1 of 2),,books/29070.txt
5992,Lady Barker,Station Amusements in New Zealand,,books/5992.txt
19962,Isabel M. Peacocke,Piccaninnies,,books/19962.txt
8998,Francis William Blagdon,Paris as It Was and as It Is,,books/8998.txt
41101,Hippolyte Taine,Histoire de la Littérature Anglaise (Volume 3 de 5),,books/41101.txt
14300,J. Holland Rose,The Life of Napoleon I (Complete),,books/14300.txt
13475,Emperor of the French Napoleon I,"Œuvres de Napoléon Bonaparte, Tome V.",,books/13475.txt
12782,Emperor of the French Napoleon I,"Œuvres de Napoléon Bonaparte, Tome II.",,books/12782.txt
41112,Hippolyte Taine,Histoire de la Littérature Anglaise (Volume 4 de 5),,books/41112.txt
12893,Emperor of the French Napoleon I,"Œuvres de Napoléon Bonaparte, Tome III.",,books/12893.txt
15299,Baron Walter Runciman Runciman,"Drake, Nelson and Napoleon",,books/15299.txt
13192,Emperor of the French Napoleon I,"Œuvres de Napoléon Bonaparte, Tome IV.",,books/13192.txt
19562,L. Mühlbach,Napoleon and the Queen of Prussia,,books/19562.txt
20464,Joseph G. Butler,A Journey Through France in War Time,,books/20464.txt
22618,Alphonse de Lamartine,Cours familier de Littérature - Volume 01,,books/22618.txt
18925,Eugène Sue,"Les mystères de Paris, Tome V",,books/18925.txt
18865,Lavallée,Histoire de Paris depuis le temps des Gaulois jusqu'à nos jours - I,,books/18865.txt
41087,Hippolyte Taine,Histoire de la Littérature Anglaise (Volume 2 de 5),,books/41087.txt
41114,Hippolyte Taine,Histoire de la Littérature Anglaise (Volume 5 de 5),,books/41114.txt
18727,Lavallée,Histoire de Paris depuis le temps des Gaulois jusqu'à nos jours - II,,books/18727.txt
43321,Jules Michelet,Histoire de France 814-1189 (Volume 2/19),,books/43321.txt
24490,Jules Michelet,Histoire de France 1758-1789 (Volume 19/19),,books/24490.txt
20415,Jules Michelet,Histoire de France 1180-1304 (Volume 3/19),,books/20415.txt
22552,Jules Michelet,Histoire de France 1305-1364 (Volume 4/19),,books/22552.txt
17760,Francis Hervé,How to Enjoy Paris in 1842,,books/17760.txt
18560,Henry T. Finck,Chopin and Other Musical Essays,,books/18560.txt
14470,Fontane et al.,"The German Classics of the Nineteenth and Twentieth Centuries, Volume 12",,books/14470.txt
17364,Wilhelm Alfred Braun,Types of Weltschmerz in German Poetry,,books/17364.txt
10166,Thomas F. A. Smith,"What Germany Thinks; Or, The War as Germans see it",,books/10166.txt
13030,Hebbel et al.,"The German Classics of the Nineteenth and Twentieth Centuries, Volume 09",,books/13030.txt
6948,Armgaard Karl Graves,The Secrets of the German War Office,,books/6948.txt
17928,Arthur F. J. Remy,The Influence of India and Persia on the Poetry of Germany,,books/17928.txt
19946,Stuart Oliver Henry,Villa Elsa,,books/19946.txt
13247,Henri Béland,Mille et un jours en prison à Berlin,,books/13247.txt
14521,F. Max Müller,Memories: A Story of German Love,,books/14521.txt
11414,Albert Rhys Williams,In the Claws of the German Eagle,,books/11414.txt
11692,Francke,"The German Classics of the Nineteenth and Twentieth Centuries, Volume 03",,books/11692.txt
19036,Price Collier,Germany and the Germans from an American Point of View,,books/19036.txt
20461,Ernest Belfort Bax,German Culture Past and Present,,books/20461.txt
21654,Minerva Brace Norton,In and Around Berlin,,books/21654.txt
2071,English Authors: Germany (Selected Scribners) William Black et al.,Stories,,books/2071.txt
15770,Carl W. Ackerman,"Germany, The Next Republic?",,books/15770.txt
23446,Anonymous,Picturesque Germany,,books/23446.txt
7238,James W. Gerard,My Four Years in Germany,,books/7238.txt
12929,Matthew Flinders,A Voyage to Terra Australis — Volume 1,,books/12929.txt
20031,G. A. Henty,A Final Reckoning: A Tale of Bush Life in Australia,,books/20031.txt
7509,Ida Lee,The Logbooks of the Lady Nelson,,books/7509.txt
10493,A. B. Paterson,The Old Bush Songs,,books/10493.txt
12668,George Bass et al.,"An Account of the English Colony in New South Wales, Volume 2",,books/12668.txt
3470,Joseph Furphy,Such Is Life,,books/3470.txt
304,A. B. Paterson,"Rio Grande's Last Race, and Other Verses",,books/304.txt
4219,Philip E. Muskett,The Art of Living in Australia,,books/4219.txt
4975,David Wynford Carnegie,Spinifex and Sand,,books/4975.txt
3819,K. Langloh Parker,The Euahlayi Tribe: A Study of Aboriginal Life in Australia,,books/3819.txt
13121,Matthew Flinders,A Voyage to Terra Australis — Volume 2,,books/13121.txt
3535,Watkin Tench,A Narrative of the Expedition to Botany-Bay,,books/3535.txt
23050,William Henry Giles Kingston,Peter Biddulph: The Story of an Australian Settler,,books/23050.txt
8911,John McDouall Stuart,Explorations in Australia,,books/8911.txt
5113,E. J. Banfield,The Confessions of a Beachcomber,,books/5113.txt
307,A. B. Paterson,"Three Elephant Power, and Other Stories",,books/307.txt
22849,John West,"The History of Tasmania , Volume II",,books/22849.txt
7450,Scott,Terre Napoleón; a History of French Explorations and Projects in Australia,,books/7450.txt
6119,A. B. Paterson,An Outback Marriage: A Story of Australian Life,,books/6119.txt
17330,Rappoport,"History of Egypt From 330 B.C. To the Present Time, Volume 10 (of 12)",,books/17330.txt
6260,Gilbert Parker,"Donovan Pasha, and Some People of Egypt — Complete",,books/6260.txt
5460,Georg Ebers,An Egyptian Princess — Complete,,books/5460.txt
17331,Rappoport,"History of Egypt From 330 B.C. To the Present Time, Volume 11 (of 12)",,books/17331.txt
9799,A. M. Williamson and C. N. Williamson,It Happened in Egypt,,books/9799.txt
10764,Jean-François Champollion,Lettres écrites d'Égypte et de Nubie en 1828 et 1829,,books/10764.txt
22799,James Baikie,Peeps at Many Lands: Ancient Egypt,,books/22799.txt
22224,G. A. Henty,At Aboukir and Acre: A Story of Napoleon's Invasion of Egypt,,books/22224.txt
15236,Margaret Alice Murray,Oude Egyptische Legenden,,books/15236.txt
10589,International Committee of the Red Cross,Turkish Prisoners in Egypt,,books/10589.txt
22780,Vivant Denon,Voyages dans la basse et la haute Egypte,,books/22780.txt
18647,R. Talbot Kelly,Peeps at Many Lands: Egypt,,books/18647.txt
3407,Robert Hichens,The Spell of Egypt,,books/3407.txt
15721,Joan Conquest,The Hawk of Egypt,,books/15721.txt
12255,George Andrew Reisner,The Egyptian Conception of Immortality,,books/12255.txt
6267,Parker,The Weavers: a tale of England and Egypt of fifty years ago - Complete,,books/6267.txt
10768,G. Maspero,L'égyptologie,,books/10768.txt
8417,John Hanning Speke,What Led to the Discovery of the Source of the Nile,,books/8417.txt
19698,E. Amélineau,Een feudale familie in Egypte,,books/19698.txt
24562,Sir James McCrone Douie,"The Panjab, North-West Frontier Province, and Kashmir",,books/24562.txt
11212,William Eleroy Curtis,Modern India,,books/11212.txt
11938,Cecil Henry Bompas,Folklore of the Santal Parganas,,books/11938.txt
16997,William Sleeman,"A Journey through the Kingdom of Oude, Volumes I & II",,books/16997.txt
12820,Annie Besant,The Case for India,,books/12820.txt
15586,Sir Valentine Chirol,"India, Old and New",,books/15586.txt
1470,H. G. Keene,The Fall of the Moghul Empire of Hindustan,,books/1470.txt
16444,Sir Valentine Chirol,Indian Unrest,,books/16444.txt
17711,Inayat Khan and Jessie Duncan Westbrook,Hindustani Lyrics,,books/17711.txt
14499,Edward Washburn Hopkins,The Religions of India,,books/14499.txt
14134,Richard Garbe,"Akbar, Emperor of India",,books/14134.txt
24416,James Kennedy,"Life and Work in Benares and Kumaon, 1839-1877",,books/24416.txt
10956,John Morley,Indian speeches (1907-1909),,books/10956.txt
11523,Various,Behind the News: Voices from Goa's Press,,books/11523.txt
15540,Oliver Optic,"Across India; Or, Live Boys in the Far East",,books/15540.txt
3233,Sir Samuel White Baker,In the Heart of Africa,,books/3233.txt
7937,Horatio Bridge,Journal of an African Cruiser,,books/7937.txt
17615,Ernest Glanville,In Search of the Okapi,,books/17615.txt
5770,Stratemeyer,"The Rover Boys in the Jungle; Or, Stirring Adventures in Africa",,books/5770.txt
15240,Marcus Roberts Phipps Dorman,A Journal of a Tour in the Congo Free State,,books/15240.txt
5760,Burton,"Two Trips to Gorilla Land and the Cataracts of the Congo, Volume 1",,books/5760.txt
6693,Edith A. How,People of Africa,,books/6693.txt
1458,Olive Schreiner,Dream Life and Real Life: A Little African Story,,books/1458.txt
21059,Harry Collingwood,The Adventures of Dick Maitland: A Tale of Unknown Africa,,books/21059.txt
14451,Stewart Edward White,African Camp Fires,,books/14451.txt
2761,H. Rider Haggard,"Benita, an African romance",,books/2761.txt
12539,Joseph Corry,Observations Upon the Windward Coast of Africa,,books/12539.txt
21391,Kingston,Great African Travellers: From Mungo Park to Livingstone and Stanley,,books/21391.txt
4675,Ballou,"The Sea-Witch; Or, The African Quadroon: A Story of the Slave Coast",,books/4675.txt
21070,Harry Collingwood,A Middy of the Slave Squadron: A West African Story,,books/21070.txt
8564,Mungo Park,Life and Travels of Mungo Park,,books/8564.txt
22591,Alexander,"A Political History of the State of New York, Volumes 1-3",,books/22591.txt
23280,Dame Shirley,The Shirley Letters from California Mines in 1851-52,,books/23280.txt
22965,Hudson Stuck,Ten Thousand Miles with a Dog Sled,,books/22965.txt
24159,Alice Morse Earle,Customs and Fashions in Old New England,,books/24159.txt
21012,Egerton Ryerson,"The Loyalists of America and Their Times, Vol. 1 of 2.",,books/21012.txt
23748,Elisha Benjamin Andrews,"History of the United States, Volume 3",,books/23748.txt
22567,Elisha Benjamin Andrews,"History of the United States, Volume 2",,books/22567.txt
22594,Various,Colonial Records of Virginia,,books/22594.txt
2897,Fleming,The Sequel of Appomattox: A Chronicle of the Reunion of the States,,books/2897.txt
19785,Thomas Jefferson,Declaration of Independence of the United States of America,,books/19785.txt
3093,Carl L. Becker,The Eve of the Revolution; A Chronicle of the Breach with England,,books/3093.txt
3410,Bliss Perry,The American Spirit in Literature: A Chronicle of Great Interpreters,,books/3410.txt
22305,Willis J. Abbot,The Naval History of the United States. Volume 1,,books/22305.txt
24728,Joel Chandler Harris,Stories Of Georgia,,books/24728.txt
15319,Andrew W. Young,The Government Class Book,,books/15319.txt
20925,Elisha Benjamin Andrews,"History of the United States, Volume 1",,books/20925.txt
21880,J. F. Loubat,The Medallic History of the United States of America 1776-1876,,books/21880.txt
24717,Howe and Hummel,Danger! A True History of a Great City's Wiles and Temptations,,books/24717.txt
2898,Johnston,Pioneers of the Old South: A Chronicle of English Colonial Beginnings,,books/2898.txt
22777,Elisha Benjamin Andrews,"History of the United States, Volume 5",,books/22777.txt
12855,William Wood,Elizabethan Sea-Dogs: A Chronicle of Drake and His Companions,,books/12855.txt
6628,George Alfred Townsend,"The Life, Crime, and Capture of John Wilkes Booth",,books/6628.txt
2754,Alexandre Dumas,The Countess of Saint Geran,,books/2754.txt
2758,Alexandre Dumas,Marquise De Ganges,,books/2758.txt
2755,Alexandre Dumas,Murat,,books/2755.txt
2749,Alexandre Dumas,La Constantin,,books/2749.txt
2745,Alexandre Dumas,Karl Ludwig Sand,,books/2745.txt
2757,Alexandre Dumas,Vaninka,,books/2757.txt
2747,Alexandre Dumas,Nisida,,books/2747.txt
2748,Alexandre Dumas,Derues,,books/2748.txt
14065,Daniel Defoe,The History of the Remarkable Life of John Sheppard,,books/14065.txt
15323,Sax Rohmer,The Green Eyes of Bâst,,books/15323.txt
18613,Sax Rohmer,The Golden Scorpion,,books/18613.txt
1159,Sax Rohmer,Fire-Tongue,,books/1159.txt
11153,E. W. Hornung,No Hero,,books/11153.txt
17169,Ricarda Huch,Der Fall Deruga,,books/17169.txt
2346,Arthur Conan Doyle,The Adventure of the Bruce-Partington Plans,,books/2346.txt
2344,Arthur Conan Doyle,The Adventure of the Cardboard Box,,books/2344.txt
221,Arthur Conan Doyle,The Return of Sherlock Holmes,,books/221.txt
21530,Edgar Wallace,The Angel of Terror,,books/21530.txt
2349,Arthur Conan Doyle,The Adventure of the Devil's Foot,,books/2349.txt
434,Mary Roberts Rinehart,The Circular Staircase,,books/434.txt
2345,Arthur Conan Doyle,The Adventure of the Red Circle,,books/2345.txt
2568,E. C. Bentley,Trent's Last Case,,books/2568.txt
20912,Edgar Wallace,The Daffodil Mystery,,books/20912.txt
10556,Baroness Emmuska Orczy Orczy,The Old Man in the Corner,,books/10556.txt
2348,Arthur Conan Doyle,The Disappearance of Lady Frances Carfax,,books/2348.txt
2343,Arthur Conan Doyle,The Adventure of Wisteria Lodge,,books/2343.txt
13765,Gaston Leroux,Le mystère de la chambre jaune,,books/13765.txt
2688,Edgar Wallace,The Clue of the Twisted Candle,,books/2688.txt
12187,R. Austin Freeman,The Mystery of 31 New Inn,,books/12187.txt
1167,Anna Katharine Green,A Strange Disappearance,,books/1167.txt
13882,R. Austin Freeman,John Thorndyke's Cases,,books/13882.txt
35304,Lawrence L. Lynch,The Last Stroke: A Detective Story,,books/35304.txt
10373,J. S. Fletcher,The Middle Temple Murder,,books/10373.txt
11128,R. Austin Freeman,The Red Thumb Mark,,books/11128.txt
17763,Anna Katharine Green,The Mystery of the Hasty Arrow,,books/17763.txt
5308,J. S. Fletcher,The Paradise Mystery,,books/5308.txt
11252,Arthur Morrison,"Martin Hewitt, Investigator",,books/11252.txt
3803,Emile Gaboriau,File No. 113,,books/3803.txt
16737,Walter John Clark,"International Language, Past, Present & Future",,books/16737.txt
22627,Charles Frederick Kroeh,German Science Reader,,books/22627.txt
16358,Charles Godfrey Leland,The English Gipsies and Their Language,,books/16358.txt
17594,Balch,"Lectures on Language, as Particularly Connected with English Grammar.",,books/17594.txt
15626,Zulma Carraud,Contes et historiettes à l'usage des jeunes enfants,,books/15626.txt
11081,Felipe Arroyo de la Cuesta,Extracto de la gramatica mutsun,,books/11081.txt
14419,Buckingham Smith,Grammatical Sketch of the Heve Language,,books/14419.txt
18818,John Wesley Powell,On the Evolution of Language,,books/18818.txt
15672,George Gibbs,"Dictionary of the Chinook Jargon, or, Trade Language of Oregon",,books/15672.txt
19807,John Summerfield,Sketch of Grammar of the Chippeway Languages,,books/19807.txt
25841,A. Blok,Het Esperanto in Twintig Lessen,,books/25841.txt
5762,W. G. Ivens,"Grammar and Vocabulary of the Lau Language, Solomon Islands",,books/5762.txt
17042,James Owen Dorsey et al.,Illustration of the Method of Recording Indian Languages,,books/17042.txt
